GEO_ID_NEW,GEO_ID,NAME,B01003_001E,B01003_001M
53001950100,1400000US53001950100,"Census Tract 9501, Adams County, Washington",2493,201
53001950200,1400000US53001950200,"Census Tract 9502, Adams County, Washington",1705,159
53001950300,1400000US53001950300,"Census Tract 9503, Adams County, Washington",6884,276
53001950400,1400000US53001950400,"Census Tract 9504, Adams County, Washington",3399,342
53001950500,1400000US53001950500,"Census Tract 9505, Adams County, Washington",4971,425
53003960100,1400000US53003960100,"Census Tract 9601, Asotin County, Washington",4201,315
53003960200,1400000US53003960200,"Census Tract 9602, Asotin County, Washington",4710,336
53003960300,1400000US53003960300,"Census Tract 9603, Asotin County, Washington",3756,271
53003960400,1400000US53003960400,"Census Tract 9604, Asotin County, Washington",2419,219
53003960500,1400000US53003960500,"Census Tract 9605, Asotin County, Washington",3471,271
53003960600,1400000US53003960600,"Census Tract 9606, Asotin County, Washington",3780,281
53005010100,1400000US53005010100,"Census Tract 101, Benton County, Washington",4872,375
53005010201,1400000US53005010201,"Census Tract 102.01, Benton County, Washington",5045,287
53005010202,1400000US53005010202,"Census Tract 102.02, Benton County, Washington",6128,476
53005010300,1400000US53005010300,"Census Tract 103, Benton County, Washington",5917,421
53005010400,1400000US53005010400,"Census Tract 104, Benton County, Washington",3469,262
53005010500,1400000US53005010500,"Census Tract 105, Benton County, Washington",3270,400
53005010600,1400000US53005010600,"Census Tract 106, Benton County, Washington",4617,352
53005010701,1400000US53005010701,"Census Tract 107.01, Benton County, Washington",2160,170
53005010703,1400000US53005010703,"Census Tract 107.03, Benton County, Washington",3097,256
53005010705,1400000US53005010705,"Census Tract 107.05, Benton County, Washington",5367,308
53005010707,1400000US53005010707,"Census Tract 107.07, Benton County, Washington",3459,271
53005010708,1400000US53005010708,"Census Tract 107.08, Benton County, Washington",3474,263
53005010803,1400000US53005010803,"Census Tract 108.03, Benton County, Washington",8624,397
53005010805,1400000US53005010805,"Census Tract 108.05, Benton County, Washington",6732,523
53005010807,1400000US53005010807,"Census Tract 108.07, Benton County, Washington",1347,174
53005010809,1400000US53005010809,"Census Tract 108.09, Benton County, Washington",6481,590
53005010810,1400000US53005010810,"Census Tract 108.10, Benton County, Washington",5091,259
53005010811,1400000US53005010811,"Census Tract 108.11, Benton County, Washington",4565,274
53005010813,1400000US53005010813,"Census Tract 108.13, Benton County, Washington",13011,707
53005010814,1400000US53005010814,"Census Tract 108.14, Benton County, Washington",4188,338
53005010901,1400000US53005010901,"Census Tract 109.01, Benton County, Washington",6793,775
53005010902,1400000US53005010902,"Census Tract 109.02, Benton County, Washington",5233,437
53005011001,1400000US53005011001,"Census Tract 110.01, Benton County, Washington",5640,505
53005011002,1400000US53005011002,"Census Tract 110.02, Benton County, Washington",5016,467
53005011100,1400000US53005011100,"Census Tract 111, Benton County, Washington",7107,475
53005011200,1400000US53005011200,"Census Tract 112, Benton County, Washington",8908,656
53005011300,1400000US53005011300,"Census Tract 113, Benton County, Washington",4237,353
53005011401,1400000US53005011401,"Census Tract 114.01, Benton County, Washington",3381,335
53005011402,1400000US53005011402,"Census Tract 114.02, Benton County, Washington",5389,374
53005011501,1400000US53005011501,"Census Tract 115.01, Benton County, Washington",6865,514
53005011503,1400000US53005011503,"Census Tract 115.03, Benton County, Washington",10086,671
53005011504,1400000US53005011504,"Census Tract 115.04, Benton County, Washington",3174,238
53005011600,1400000US53005011600,"Census Tract 116, Benton County, Washington",895,157
53005011700,1400000US53005011700,"Census Tract 117, Benton County, Washington",7533,443
53005011800,1400000US53005011800,"Census Tract 118, Benton County, Washington",7074,625
53005011900,1400000US53005011900,"Census Tract 119, Benton County, Washington",5923,420
53005012000,1400000US53005012000,"Census Tract 120, Benton County, Washington",0,12
53007960100,1400000US53007960100,"Census Tract 9601, Chelan County, Washington",2175,214
53007960200,1400000US53007960200,"Census Tract 9602, Chelan County, Washington",6965,757
53007960300,1400000US53007960300,"Census Tract 9603, Chelan County, Washington",6027,693
53007960400,1400000US53007960400,"Census Tract 9604, Chelan County, Washington",2993,543
53007960500,1400000US53007960500,"Census Tract 9605, Chelan County, Washington",8099,928
53007960600,1400000US53007960600,"Census Tract 9606, Chelan County, Washington",4062,240
53007960700,1400000US53007960700,"Census Tract 9607, Chelan County, Washington",4012,340
53007960801,1400000US53007960801,"Census Tract 9608.01, Chelan County, Washington",2745,239
53007960802,1400000US53007960802,"Census Tract 9608.02, Chelan County, Washington",7509,575
53007961000,1400000US53007961000,"Census Tract 9610, Chelan County, Washington",6847,711
53007961100,1400000US53007961100,"Census Tract 9611, Chelan County, Washington",10118,1107
53007961200,1400000US53007961200,"Census Tract 9612, Chelan County, Washington",4366,390
53007961301,1400000US53007961301,"Census Tract 9613.01, Chelan County, Washington",1496,247
53007961302,1400000US53007961302,"Census Tract 9613.02, Chelan County, Washington",8343,566
53009000200,1400000US53009000200,"Census Tract 2, Clallam County, Washington",990,178
53009000300,1400000US53009000300,"Census Tract 3, Clallam County, Washington",4860,412
53009000400,1400000US53009000400,"Census Tract 4, Clallam County, Washington",1766,179
53009000600,1400000US53009000600,"Census Tract 6, Clallam County, Washington",3695,271
53009000700,1400000US53009000700,"Census Tract 7, Clallam County, Washington",3688,381
53009000800,1400000US53009000800,"Census Tract 8, Clallam County, Washington",4247,316
53009000900,1400000US53009000900,"Census Tract 9, Clallam County, Washington",2756,362
53009001000,1400000US53009001000,"Census Tract 10, Clallam County, Washington",2498,246
53009001100,1400000US53009001100,"Census Tract 11, Clallam County, Washington",3347,284
53009001200,1400000US53009001200,"Census Tract 12, Clallam County, Washington",3612,327
53009001300,1400000US53009001300,"Census Tract 13, Clallam County, Washington",3386,313
53009001400,1400000US53009001400,"Census Tract 14, Clallam County, Washington",5365,454
53009001500,1400000US53009001500,"Census Tract 15, Clallam County, Washington",2183,233
53009001600,1400000US53009001600,"Census Tract 16, Clallam County, Washington",3259,284
53009001700,1400000US53009001700,"Census Tract 17, Clallam County, Washington",5000,593
53009001800,1400000US53009001800,"Census Tract 18, Clallam County, Washington",2683,304
53009001900,1400000US53009001900,"Census Tract 19, Clallam County, Washington",5946,381
53009002000,1400000US53009002000,"Census Tract 20, Clallam County, Washington",5771,343
53009002100,1400000US53009002100,"Census Tract 21, Clallam County, Washington",3686,299
53009002300,1400000US53009002300,"Census Tract 23, Clallam County, Washington",4104,388
53009940000,1400000US53009940000,"Census Tract 9400, Clallam County, Washington",1645,171
53009990100,1400000US53009990100,"Census Tract 9901, Clallam County, Washington",0,12
53011040101,1400000US53011040101,"Census Tract 401.01, Clark County, Washington",5230,504
53011040102,1400000US53011040102,"Census Tract 401.02, Clark County, Washington",3590,501
53011040201,1400000US53011040201,"Census Tract 402.01, Clark County, Washington",6034,497
53011040202,1400000US53011040202,"Census Tract 402.02, Clark County, Washington",3771,299
53011040203,1400000US53011040203,"Census Tract 402.03, Clark County, Washington",5790,403
53011040301,1400000US53011040301,"Census Tract 403.01, Clark County, Washington",2100,263
53011040302,1400000US53011040302,"Census Tract 403.02, Clark County, Washington",8533,414
53011040403,1400000US53011040403,"Census Tract 404.03, Clark County, Washington",4557,360
53011040407,1400000US53011040407,"Census Tract 404.07, Clark County, Washington",6130,393
53011040408,1400000US53011040408,"Census Tract 404.08, Clark County, Washington",3781,320
53011040409,1400000US53011040409,"Census Tract 404.09, Clark County, Washington",1978,121
53011040411,1400000US53011040411,"Census Tract 404.11, Clark County, Washington",2376,170
53011040412,1400000US53011040412,"Census Tract 404.12, Clark County, Washington",4654,274
53011040413,1400000US53011040413,"Census Tract 404.13, Clark County, Washington",2836,274
53011040414,1400000US53011040414,"Census Tract 404.14, Clark County, Washington",6311,471
53011040415,1400000US53011040415,"Census Tract 404.15, Clark County, Washington",4472,346
53011040416,1400000US53011040416,"Census Tract 404.16, Clark County, Washington",3697,330
53011040504,1400000US53011040504,"Census Tract 405.04, Clark County, Washington",4819,333
53011040505,1400000US53011040505,"Census Tract 405.05, Clark County, Washington",6222,384
53011040507,1400000US53011040507,"Census Tract 405.07, Clark County, Washington",2242,163
53011040508,1400000US53011040508,"Census Tract 405.08, Clark County, Washington",6997,336
53011040509,1400000US53011040509,"Census Tract 405.09, Clark County, Washington",3152,317
53011040510,1400000US53011040510,"Census Tract 405.10, Clark County, Washington",5514,341
53011040511,1400000US53011040511,"Census Tract 405.11, Clark County, Washington",2262,221
53011040603,1400000US53011040603,"Census Tract 406.03, Clark County, Washington",4734,261
53011040604,1400000US53011040604,"Census Tract 406.04, Clark County, Washington",5882,397
53011040605,1400000US53011040605,"Census Tract 406.05, Clark County, Washington",5552,449
53011040608,1400000US53011040608,"Census Tract 406.08, Clark County, Washington",4649,175
53011040609,1400000US53011040609,"Census Tract 406.09, Clark County, Washington",4956,264
53011040610,1400000US53011040610,"Census Tract 406.10, Clark County, Washington",3662,191
53011040703,1400000US53011040703,"Census Tract 407.03, Clark County, Washington",6223,492
53011040706,1400000US53011040706,"Census Tract 407.06, Clark County, Washington",3790,249
53011040707,1400000US53011040707,"Census Tract 407.07, Clark County, Washington",3251,311
53011040709,1400000US53011040709,"Census Tract 407.09, Clark County, Washington",4803,413
53011040710,1400000US53011040710,"Census Tract 407.10, Clark County, Washington",6922,697
53011040711,1400000US53011040711,"Census Tract 407.11, Clark County, Washington",3228,248
53011040712,1400000US53011040712,"Census Tract 407.12, Clark County, Washington",6442,417
53011040803,1400000US53011040803,"Census Tract 408.03, Clark County, Washington",5300,284
53011040805,1400000US53011040805,"Census Tract 408.05, Clark County, Washington",6941,564
53011040806,1400000US53011040806,"Census Tract 408.06, Clark County, Washington",4841,215
53011040808,1400000US53011040808,"Census Tract 408.08, Clark County, Washington",1825,135
53011040809,1400000US53011040809,"Census Tract 408.09, Clark County, Washington",5869,451
